United	Unite	341	328	VBN 
Patent	Patent	961	330	NN 
Patent	Patent	1880	354	NN 
Date	Date	1881	463	NN 
COMBINATION	COMBINATION	476	656	NN 
HAMMER	HAMMER	869	656	NN 
LUMBER	LUMBER	1254	656	NN 
Primary	Primary	1656	658	NN 
Smith	Smith	2298	656	NN 
MANIPULATING	MANIPULATE	476	716	NN 
TOOL	TOOL	896	716	NN 
Assistant	Assistant	1654	717	NN 
John	John	710	831	NN 
County	County	1216	832	NN 
International	International	711	891	JJ 
ABSTRACT	ABSTRACT	2130	873	JJ 
combination	combination	1715	976	NN 
hammer	hammer	1990	976	NN 
lumber	lumber	2270	976	NN 
manipulating	manipulate	2434	976	NN 
tool	tool	2721	976	NN 
providing	provide	1659	1037	VBG 
hammer	hammer	1911	1037	NN 
capable	capable	2279	1037	JJ 
utilized	utilize	2631	1037	VBN 
lumber	lumber	1661	1096	NN 
manipulating	manipulate	1817	1096	NN 
tool	tool	2099	1096	NN 
combination	combination	2396	1096	NN 
air	air	2829	1096	NN 
inventive	inventive	1968	1157	NN 
device	device	2183	1157	NN 
includes	include	2342	1157	VBZ 
socket	socket	2319	1217	NN 
striking	strike	2599	1217	JJ 
includes	include	2206	1278	VBZ 
jaw	jaw	2426	1278	NN 
attached	attach	2521	1278	VBN 
Field	Field	476	1350	NN 
Search	Search	662	1350	NN 
socket	socket	1796	1337	NN 
distally	distally	1942	1337	RB 
spaced	space	2108	1337	VBN 
opposition	opposition	2319	1337	NN 
distal	distal	1660	1398	NN 
space	space	1795	1411	NN 
claw	claw	2211	1398	NN 
jaw	jaw	2512	1398	NN 
formed	form	2670	1398	VBN 
References	Reference	763	1465	NNS 
Cited	Cite	1017	1465	VBN 
fittingly	fittingly	1661	1459	RB 
engage	engage	1833	1472	VB 
piece	piece	2022	1459	NN 
lumber	lumber	2198	1459	NN 
jaw	jaw	2803	1459	NN 
preferably	preferably	1659	1519	RB 
includes	include	1881	1519	VBZ 
plurality	plurality	2096	1519	NN 
teeth	tooth	2335	1519	NNS 
gripping	grip	2517	1519	VBG 
piece	piece	2772	1519	NN 
PATENT	PATENT	744	1562	NN 
DOCUMENTS	DOCUMENT	945	1562	NNS 
Drawing	Draw	2245	1709	NN 
Sheets	Sheet	2452	1709	NNS 
Sheet	Sheet	1746	353	NN 
Patent	Patent	555	330	NN 
Patent	Patent	579	318	NN 
Sheet	Sheet	1769	356	NN 
o	o	552	906	NN 
L	L	1996	1114	NN 
S	S	517	1141	PRP 
c	c	939	1182	NN 
F	F	1118	1273	SYM 
og	og	1339	1326	NN 
e	e	1715	1696	SYM 
o	o	2461	2061	NN 
LL	LL	2460	2184	NN 
COMBINATION	COMBINATION	450	517	NN 
HAMMER	HAMMER	843	517	NN 
LUMBER	LUMBER	1228	517	NN 
MANIPULATING	MANIPULATE	665	578	NN 
TOOL	TOOL	1088	578	NN 
BACKGROUND	BACKGROUND	525	687	NN 
INVENTION	INVENTION	1096	687	NN 
Field	Field	446	780	NN 
Invention	Invention	704	780	NN 
invention	invention	661	852	NN 
relates	relate	876	852	VBZ 
combination	combination	1305	852	NN 
hammer	hammer	340	912	NN 
wrench	wrench	605	912	NN 
devices	device	770	912	NNS 
specifically	specifically	1141	912	RB 
relates	relate	1428	912	VBZ 
combination	combination	431	973	NN 
hammer	hammer	698	973	NN 
lumber	lumber	967	973	NN 
manipulating	manipulate	1125	973	NN 
tool	tool	1408	973	NN 
providing	provide	339	1032	VBG 
hammer	hammer	589	1033	NN 
capable	capable	957	1032	JJ 
utilized	utilize	1312	1032	VBN 
lumber	lumber	340	1093	NN 
manipulating	manipulate	498	1093	NN 
tool	tool	778	1093	NN 
combination	combination	1074	1093	NN 
air	air	1508	1093	NN 
Description	Description	446	1225	NN 
Prior	Prior	838	1225	RB 
Art	Art	952	1227	NN 
numerous	numerous	615	1311	JJ 
combination	combination	838	1298	NN 
hammer	hammer	1114	1298	NN 
wood	wood	441	1359	NN 
illustrative	illustrative	611	1902	NN 
prior	prior	1013	1902	RB 
discloses	disclose	1126	1975	VBZ 
head	head	340	2036	NN 
sliding	slide	670	2036	VBG 
jaw	jaw	829	2036	NN 
connected	connect	933	2036	VBN 
socket	socket	1276	2036	NN 
plurality	plurality	744	2095	NN 
securing	secure	1315	2095	VBG 
sliding	slide	340	2156	VBG 
jaw	jaw	498	2156	NN 
adjusted	adjust	732	2156	VBN 
relation	relation	986	2156	NN 
claw	claw	1314	2156	NN 
discloses	disclose	1097	2285	VBZ 
shank	shank	1335	2285	NN 
inclined	incline	340	2346	JJ 
apertures	aperture	519	2352	NNS 
front	front	904	2346	NN 
combination	combination	1165	2346	NN 
movable	movable	340	2406	NN 
jaw	jaw	528	2406	NN 
inclined	incline	778	2406	JJ 
dowel	dowel	960	2406	NN 
pin	pin	1100	2406	NN 
adapted	adapt	1184	2406	VBN 
engage	engage	1416	2419	VB 
Boswell	Boswell	392	2538	NN 
discloses	disclose	1126	2538	VBZ 
Boswell	Boswell	598	2659	NN 
discloses	disclose	783	2659	VBZ 
jaw	jaw	1373	2659	NN 
ably	ably	341	2718	RB 
mounted	mount	454	2718	VBN 
shank	shank	783	2718	NN 
guiding	guide	1405	2718	VBG 
flanges	flange	340	2779	NNS 
carried	carry	504	2779	VBN 
movable	movable	817	2779	NN 
jaw	jaw	1008	2779	NN 
means	mean	1036	2853	NNS 
holding	hold	1247	2840	NN 
jaw	jaw	1482	2840	NN 
Thomas	Thoma	392	2969	NNS 
discloses	disclose	1103	2969	VBZ 
elongated	elongate	1363	2969	VBN 
handle	handle	340	3029	VB 
head	head	635	3029	NN 
opposed	oppose	1012	3029	VBN 
spaced	space	1299	3029	VBN 
apart	apart	1459	3035	RB 
claws	claw	340	3090	NNS 
substantially	substantially	655	3090	RB 
shorter	short	926	3090	JJR 
length	length	1131	3090	NN 
pair	pair	428	3151	NN 
claws	claw	570	3151	NNS 
engage	engage	696	3164	VB 
opposing	oppose	851	3151	VBG 
piece	piece	1244	3151	NN 
lumber	lumber	1416	3151	NN 
elongated	elongate	515	3210	VBN 
handle	handle	732	3210	VB 
provides	provide	885	3210	VBZ 
leverage	leverage	1082	3211	NN 
manipulate	manipulate	1334	3210	VB 
devices	device	664	3341	NNS 
suitable	suitable	1019	3341	JJ 
particular	particular	1364	3341	NN 
purpose	purpose	339	3414	NN 
suitable	suitable	1326	3401	JJ 
providing	provide	339	3462	VBG 
hammer	hammer	589	3462	NN 
capable	capable	957	3462	JJ 
utilized	utilize	1312	3462	VBN 
lumber	lumber	340	3521	NN 
manipulating	manipulate	498	3521	NN 
tool	tool	778	3521	NN 
combination	combination	1074	3521	NN 
air	air	1508	3521	NN 
Boswell	Boswell	993	3582	NN 
disclose	disclose	1240	3582	VB 
mer	mer	340	3655	NN 
movable	movable	570	3642	NN 
none	none	1065	3655	NN 
stated	state	1441	3642	VBN 
prior	prior	339	3703	RB 
art	art	461	3709	NN 
designed	design	615	3703	VBN 
engaging	engage	896	3703	VBG 
piece	piece	1145	3703	NN 
lumber	lumber	1337	3703	NN 
require	require	819	3764	VB 
