United	Unite	575	438	VBN 
Patent	Patent	1201	439	NN 
Patent	Patent	2015	465	NN 
Date	Date	2015	553	NN 
ENDOSCOPIC	ENDOSCOPIC	602	760	NN 
BITE	BITE	967	760	NN 
BLOCK	BLOCK	1104	760	NN 
SYSTEM	SYSTEM	1310	760	NN 
Wayne	Wayne	846	871	NN 
Winnipeg	Winnipeg	1089	939	NN 
MB	MB	1428	940	NN 
OBS	OB	1628	940	NNS 
Subject	Subject	848	1039	NN 
term	term	1481	1046	NN 
patent	patent	846	1113	NN 
extended	extend	1055	1107	VBN 
adjusted	adjust	1334	1107	VBN 
Prior	Prior	907	1527	RB 
Publication	Publication	1041	1527	NN 
Data	Data	1311	1527	NNS 
Related	Relate	758	1752	VBN 
Application	Application	1044	1752	NN 
Data	Data	1320	1752	NNS 
Provisional	Provisional	602	1849	JJ 
application	application	854	1849	NN 
filed	file	1455	1849	VBN 
Field	Field	602	2880	NN 
Classification	Classification	786	2880	NN 
Search	Search	1101	2880	NN 
application	application	691	3153	NN 
file	file	938	3153	NN 
complete	complete	1093	3153	JJ 
search	search	1301	3153	NN 
References	Reference	2272	753	NNS 
Cited	Cite	2529	753	VBN 
PATENT	PATENT	2250	856	NN 
DOCUMENTS	DOCUMENT	2453	856	NNS 
S	S	2154	972	PRP 
Al	Al	2152	1186	IN 
Jackson	Jackson	2462	970	NN 
Jackson	Jackson	2462	1042	NN 
p	p	2462	1114	NN 
mae	ma	2496	1113	NN 
Deal	Deal	2462	1185	NN 
et	et	2562	1190	FW 
PUBLICATIONS	PUBLICATION	2368	1504	NNS 
Canadian	Canadian	1830	1618	NN 
Patent	Patent	2017	1620	NN 
Notice	Notice	2280	1618	NN 
Canadian	Canadian	2688	1618	NN 
Application	Application	2873	1618	NN 
Response	Response	2038	1744	NN 
Canadian	Canadian	2279	1743	NN 
Office	Office	2467	1743	NN 
Canadian	Canadian	2743	1743	NN 
Canadian	Canadian	1830	1869	NN 
Patent	Patent	2017	1870	NN 
Canadian	Canadian	2283	1869	NN 
Office	Office	2470	1869	NN 
Canadian	Canadian	2745	1869	NN 
cited	cite	1870	2031	VBN 
examiner	examiner	2051	2031	NN 
Primary	Primary	1827	2131	NN 
M	M	2449	2131	NN 
Bianco	Bianco	2510	2130	NN 
Assistant	Assistant	1826	2195	NN 
Patel	Patel	2416	2193	NN 
Law	Law	2672	2256	NN 
Offices	Office	2777	2254	NNS 
ABSTRACT	ABSTRACT	2318	2374	JJ 
endoscopic	endoscopic	1903	2566	NN 
bite	bite	2148	2566	NN 
block	block	2237	2566	NN 
system	system	2365	2573	NN 
increasing	increase	2590	2566	VBG 
speed	speed	2889	2566	NN 
efficiency	efficiency	1830	2629	NN 
endoscopic	endoscopic	2175	2629	NN 
endoscopic	endoscopic	2763	2629	NN 
bite	bite	3013	2629	NN 
block	block	1829	2691	NN 
system	system	1969	2697	NN 
includes	include	2136	2691	VBZ 
base	base	2376	2691	NN 
including	include	2686	2691	VBG 
central	central	2950	2691	NN 
tube	tube	2348	2754	NN 
channel	channel	2745	2754	NN 
latitudinally	latitudinally	1830	2817	RB 
extending	extend	2092	2817	VBG 
outer	outer	2474	2823	JJ 
edge	edge	2591	2817	NN 
central	central	2822	2817	NN 
strap	strap	2029	2884	NN 
removably	removably	2321	2878	RB 
attached	attach	2556	2878	VBN 
base	base	2866	2878	NN 
wherein	wherein	1923	2941	NN 
strap	strap	2190	2947	NN 
removably	removably	2494	2941	RB 
attaches	attach	2735	2941	VBZ 
base	base	2999	2941	NN 
mouth	mouth	2145	3003	NN 
Drawing	Draw	2431	3154	NN 
Sheets	Sheet	2640	3154	NNS 
Patent	Patent	670	327	NN 
Sheet	Sheet	1763	351	NN 
Patent	Patent	670	327	NN 
Sheet	Sheet	1763	351	NN 
Patent	Patent	658	335	NN 
Sheet	Sheet	1752	352	NN 
o	o	1932	844	NN 
G	G	2842	705	NN 
w	w	2143	1168	NN 
R	R	656	1645	NN 
ey	ey	1489	1588	NN 
aas	aa	1366	1986	NNS 
ff	ff	1375	3585	NN 
Q	Q	2507	3723	NN 
Patent	Patent	665	331	NN 
Sheet	Sheet	1758	352	NN 
e	e	973	3057	SYM 
Am	be	986	3100	VB 
Patent	Patent	646	310	NN 
