United	Unite	575	438	VBN 
Patent	Patent	1218	439	NN 
et	et	779	557	FW 
BI	BI	2998	454	NNS 
Patent	Patent	2015	465	NN 
Date	Date	2015	553	NN 
METHOD	METHOD	602	747	NN 
OPERATING	OPERATE	948	747	NN 
THERMAL	THERMAL	1331	747	JJ 
MANAGEMENT	MANAGEMENT	602	810	NN 
SYSTEM	SYSTEM	1017	810	NN 
Charles	Charle	847	934	NNS 
WA	WA	1446	934	NN 
Chester	Chester	847	997	NN 
WA	WA	1528	997	NN 
William	William	981	1059	NN 
ID	ID	1646	1059	NN 
Douglas	Dougla	982	1122	NNS 
ID	ID	1638	1122	NN 
William	William	981	1183	NN 
ID	ID	847	1246	NN 
Isothermal	Isothermal	847	1365	NN 
Systems	System	1113	1365	NNS 
Liberty	Liberty	847	1425	NN 
WA	WA	1155	1426	NN 
Subject	Subject	848	1543	NN 
term	term	1481	1550	NN 
patent	patent	846	1612	NN 
extended	extend	1055	1606	VBN 
adjusted	adjust	1334	1606	VBN 
O	O	1235	1671	NN 
patent	patent	961	1794	NN 
subject	subject	1172	1788	NN 
terminal	terminal	1448	1788	NN 
Related	Relate	750	2206	VBN 
Application	Application	1047	2206	NN 
Data	Data	1328	2206	NNS 
Continuation	Continuation	602	2299	NN 
application	application	952	2299	NN 
filed	file	1563	2299	VBN 
vv	vv	926	2643	NN 
Field	Field	602	2680	NN 
Classification	Classification	795	2680	NN 
Search	Search	1116	2680	NN 
application	application	695	2803	NN 
file	file	947	2803	NN 
complete	complete	1110	2803	JJ 
search	search	1322	2803	NN 
References	Reference	2269	753	NNS 
Cited	Cite	2531	753	VBN 
PATENT	PATENT	2250	853	NN 
DOCUMENTS	DOCUMENT	2458	853	NNS 
Marshall	Marshall	2462	951	NN 
et	et	2643	955	FW 
et	et	2607	1068	FW 
et	et	2597	1125	FW 
et	et	2590	1181	FW 
et	et	2597	1236	FW 
et	et	2607	1293	FW 
cited	cite	1874	1389	VBN 
examiner	examiner	2064	1389	NN 
Primary	Primary	1827	1489	NN 
ABSTRACT	ABSTRACT	2317	1671	JJ 
spray	spray	1885	1804	NN 
cooling	cool	2016	1791	NN 
system	system	2193	1797	NN 
extreme	extreme	2435	1797	NN 
environments	environment	2622	1791	NNS 
desired	desire	2010	1852	VBN 
enclosed	enclose	2173	1852	VBN 
environment	environment	2368	1852	NN 
electronic	electronic	2718	1852	JJ 
devices	device	2936	1852	NNS 
regardless	regardless	1829	1915	RB 
external	external	2123	1915	JJ 
environmental	environmental	2310	1915	JJ 
spray	spray	2981	1929	NN 
cooling	cool	1830	1977	NN 
system	system	2002	1983	NN 
extreme	extreme	2233	1983	NN 
environments	environment	2414	1977	NNS 
includes	include	2712	1977	VBZ 
isolates	isolate	2029	2040	VBZ 
electronic	electronic	2282	2040	JJ 
components	component	2504	2046	NNS 
spray	spray	2287	2116	NN 
unit	unit	2430	2103	NN 
enclosure	enclosure	2801	2103	NN 
thermally	thermally	1829	2164	RB 
managing	manage	2044	2164	NN 
electronic	electronic	2532	2164	JJ 
pump	pump	2973	2178	NN 
unit	unit	1829	2227	NN 
fluidly	fluidly	1923	2227	RB 
connected	connect	2071	2227	VBN 
spray	spray	2424	2241	NN 
heat	heat	2686	2227	NN 
exchanger	exchanger	2785	2227	NN 
unit	unit	3011	2227	NN 
fluidly	fluidly	1830	2289	RB 
connected	connect	1986	2289	VBN 
control	control	2655	2289	NN 
valve	valve	2822	2289	NN 
fluidly	fluidly	2956	2289	RB 
connected	connect	1830	2352	VBN 
heat	heat	2338	2352	NN 
exchanger	exchanger	2446	2352	NN 
unit	unit	2680	2352	NN 
independent	independent	1910	2413	JJ 
chamber	chamber	2185	2413	NN 
preferably	preferably	2380	2413	RB 
houses	house	2614	2413	NNS 
heater	heater	2812	2413	NN 
power	power	1922	2490	NN 
supply	supply	2067	2476	NN 
control	control	2338	2476	NN 
whereby	whereby	2604	2476	WRB 
heater	heater	2871	2476	NN 
unit	unit	3011	2476	NN 
initially	initially	1830	2539	RB 
heats	heat	2005	2539	VBZ 
coolant	coolant	2202	2539	NN 
independent	independent	2591	2539	JJ 
chamber	chamber	2860	2539	NN 
minimum	minimum	1870	2601	NN 
operating	operate	2092	2601	NN 
temperature	temperature	2306	2607	NN 
prior	prior	2574	2601	RB 
operation	operation	2753	2601	NN 
electronic	electronic	1830	2664	JJ 
Drawing	Draw	2435	2805	NN 
Sheets	Sheet	2649	2805	NNS 
l	l	1986	3564	NN 
l	l	1048	3963	NN 
f	f	1556	4011	SYM 
ol	ol	1003	4061	NN 
Q	Q	2204	4257	NN 
Heat	Heat	1425	1599	NN 
Exchanger	Exchanger	1480	1530	NN 
Clk	Clk	1830	2007	NN 
Control	Control	2082	3366	NN 
Unit	Unit	2140	3403	NN 
Power	Power	2105	3045	NN 
Supply	Supply	2160	3037	NN 
Heater	Heater	2082	2641	NN 
