United	Unite	575	439	VBN 
Patent	Patent	1201	439	NN 
Patent	Patent	2015	465	NN 
et	et	817	557	FW 
Date	Date	2015	553	NN 
ULTRA	ULTRA	602	747	NN 
LOW	LOW	795	747	JJ 
PRESSURE	PRESSURE	934	747	NN 
SWITCH	SWITCH	1224	747	NN 
Smith	Smith	2463	751	NN 
ADJUSTMENT	ADJUSTMENT	601	810	NN 
SYSTEM	SYSTEM	979	810	NN 
C	C	3063	810	NN 
P	P	3067	865	NN 
Mark	Mark	847	934	NN 
NY	NY	1442	934	NN 
Ii	Ii	3063	922	NN 
R	R	919	997	NN 
Felix	Felix	847	997	NN 
GA	GA	1384	997	NN 
SA	SA	3034	1033	NN 
Miller	Miller	2462	1089	NN 
N	N	3058	1090	NN 
NY	NY	1533	1116	NN 
Joyce	Joyce	2462	1146	NN 
S	S	3068	1146	PRP 
R	R	3063	1203	NN 
Subject	Subject	848	1294	NN 
term	term	1481	1301	NN 
patent	patent	846	1363	NN 
extended	extend	1055	1357	VBN 
adjusted	adjust	1334	1357	VBN 
Primary	Primary	1827	1434	NN 
cited	cite	1870	1332	VBN 
examiner	examiner	2051	1332	NN 
ABSTRACT	ABSTRACT	2318	1614	JJ 
ultra	ultra	1916	1702	NN 
low	low	2038	1702	JJ 
pressure	pressure	2137	1716	NN 
switch	switch	2339	1702	NN 
adjustment	adjustment	2498	1702	NN 
system	system	2754	1709	NN 
differentiating	differentiate	1988	1765	VBG 
varying	varying	2489	1765	VBG 
triggering	trigger	2662	1765	VBG 
ultra	ultra	1927	1828	NN 
low	low	2043	1828	JJ 
pressure	pressure	2137	1842	NN 
switch	switch	2332	1828	NN 
adjustment	adjustment	2486	1828	NN 
system	system	2736	1835	NN 
CL	CL	709	1908	NN 
includes	include	1830	1890	VBZ 
housing	house	2067	1890	NN 
including	include	2254	1890	VBG 
aperture	aperture	2617	1896	NN 
SA	SA	1659	1969	NN 
wherein	wherein	2026	1953	NN 
housing	house	2303	1953	NN 
comprised	comprise	2528	1953	VBN 
portion	portion	2940	1953	NN 
Field	Field	602	2038	NN 
Classification	Classification	786	2038	NN 
Search	Search	1101	2038	NN 
wherein	wherein	2330	2014	NN 
portion	portion	2735	2014	NN 
portion	portion	1988	2077	NN 
define	define	2154	2077	VB 
cavity	cavity	2331	2077	NN 
positioned	position	1901	2140	VBN 
adjustment	adjustment	2633	2140	NN 
engage	engage	1830	2215	VB 
wherein	wherein	2368	2202	NN 
adjustment	adjustment	2732	2202	NN 
ber	ber	1829	2265	NN 
extends	extend	1919	2265	VBZ 
terminal	terminal	2916	2265	NN 
References	Reference	903	2325	NNS 
Cited	Cite	1161	2325	VBN 
positioned	position	1829	2326	VBN 
cavity	cavity	2306	2326	NN 
adjustment	adjustment	2728	2326	NN 
ber	ber	1829	2389	NN 
engage	engage	1985	2403	VB 
wherein	wherein	2645	2389	NN 
DOCUMENTS	DOCUMENT	1085	2425	NNS 
adjustment	adjustment	1830	2451	NN 
extends	extend	2259	2451	VBZ 
application	application	691	2224	NN 
file	file	938	2224	NN 
complete	complete	1093	2224	JJ 
search	search	1301	2224	NN 
P	P	1699	2593	NN 
Drawing	Draw	2444	2590	NN 
Sheets	Sheet	2655	2590	NNS 
Patent	Patent	4546	670	NN 
Sheet	Sheet	4546	1763	NN 
Patent	Patent	682	320	NN 
Sheet	Sheet	1776	350	NN 
e	e	874	1350	SYM 
g	g	1304	3844	NN 
p	p	1850	1687	NN 
Patent	Patent	682	320	NN 
Sheet	Sheet	1776	350	NN 
BI	BI	1940	351	NNS 
ULTRA	ULTRA	675	529	NN 
LOW	LOW	868	529	JJ 
PRESSURE	PRESSURE	1007	529	NN 
SWITCH	SWITCH	1297	529	NN 
ADJUSTMENT	ADJUSTMENT	796	591	NN 
SYSTEM	SYSTEM	1175	591	NN 
CROSS	CROSS	689	717	NN 
REFERENCE	REFERENCE	868	717	NN 
RELATED	RELATE	1263	717	VBN 
APPLICATIONS	APPLICATION	907	778	NNS 
applicable	applicable	606	901	JJ 
application	application	979	901	NN 
STATEMENT	STATEMENT	625	1021	NN 
REGARDING	REGARD	938	1021	VBG 
FEDERALLY	FEDERALLY	1262	1021	RB 
SPONSORED	SPONSOR	553	1084	VBN 
RESEARCH	RESEARCH	872	1084	NN 
DEVELOPMENT	DEVELOPMENT	1246	1084	NN 
applicable	applicable	606	1207	JJ 
application	application	979	1207	NN 
BACKGROUND	BACKGROUND	661	1327	NN 
INVENTION	INVENTION	1235	1327	NN 
Field	Field	567	1450	NN 
Invention	Invention	823	1450	NN 
invention	invention	826	1513	NN 
relates	relate	1058	1513	VBZ 
pressure	pressure	1549	1527	NN 
switches	switch	463	1575	NNS 
specifically	specifically	865	1575	RB 
relates	relate	1155	1575	VBZ 
ultra	ultra	1419	1575	NN 
low	low	1531	1575	JJ 
switch	switch	565	1638	NN 
adjustment	adjustment	716	1638	NN 
system	system	964	1644	NN 
efficiently	efficiently	1198	1638	RB 
differentiating	differentiate	1425	1638	VBG 
varying	varying	649	1699	VBG 
triggering	trigger	822	1699	VBG 
Description	Description	567	1762	NN 
Related	Relate	959	1762	VBN 
Art	Art	1130	1764	NN 
discussion	discussion	613	1825	NN 
prior	prior	968	1825	RB 
art	art	1080	1831	NN 
throughout	throughout	1144	1825	IN 
specification	specification	1460	1825	NN 
considered	consider	923	1887	VBN 
admission	admission	1300	1887	NN 
prior	prior	460	1950	RB 
art	art	579	1956	NN 
widely	widely	699	1950	RB 
forms	form	1076	1950	NNS 
common	common	1370	1963	JJ 
knowledge	knowledge	460	2011	NN 
Pressure	Pressure	515	2079	NN 
switches	switch	702	2077	NNS 
low	low	1647	2077	JJ 
pressure	pressure	460	2154	NN 
switches	switch	661	2140	NNS 
utilize	utilize	861	2140	VB 
deflecting	deflect	1062	2140	VBG 
beam	beam	1291	2140	NN 
