level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3600	4950	-1	
2	1	1	0	0	0	2240	249	401	45	-1	
3	1	1	1	0	0	2240	249	401	45	-1	
4	1	1	1	1	0	2240	249	401	45	-1	
5	1	1	1	1	1	2240	249	401	45	73	USO08036493B1
2	1	2	0	0	0	460	656	2632	5	-1	
3	1	2	1	0	0	460	656	2632	5	-1	
4	1	2	1	1	0	460	656	2632	5	-1	
5	1	2	1	1	1	460	656	2632	5	95	 
2	1	3	0	0	0	806	2033	519	5	-1	
3	1	3	1	0	0	806	2033	519	5	-1	
4	1	3	1	1	0	806	2033	519	5	-1	
5	1	3	1	1	1	806	2033	519	5	95	 
2	1	4	0	0	0	463	438	2631	1749	-1	
3	1	4	1	0	0	463	438	2631	1749	-1	
4	1	4	1	1	0	463	438	2623	92	-1	
5	1	4	1	1	1	463	475	83	52	93	a»
5	1	4	1	1	2	578	439	301	77	95	United
5	1	4	1	1	3	913	438	260	78	96	States
5	1	4	1	1	4	1204	439	289	77	95	Patent
5	1	4	1	1	5	1902	475	83	52	95	(10)
5	1	4	1	1	6	2015	465	191	51	95	Patent
5	1	4	1	1	7	2228	465	119	51	94	No.:
5	1	4	1	1	8	2527	454	100	62	95	US
5	1	4	1	1	9	2652	454	321	76	93	8,036,493
5	1	4	1	1	10	2998	454	88	61	73	BI
4	1	4	1	2	0	578	552	2504	65	-1	
5	1	4	1	2	1	578	553	220	52	90	Neustel
5	1	4	1	2	2	1902	564	83	51	82	(45)
5	1	4	1	2	3	2015	553	136	52	96	Date
5	1	4	1	2	4	2173	552	61	53	96	of
5	1	4	1	2	5	2248	553	210	52	94	Patent:
5	1	4	1	2	6	2701	552	121	53	92	Oct.
5	1	4	1	2	7	2847	552	82	65	95	11,
5	1	4	1	2	8	2950	552	132	53	96	2011
4	1	4	1	3	0	463	751	2186	52	-1	
5	1	4	1	3	1	463	751	83	52	84	(54)
5	1	4	1	3	2	602	753	237	38	57	METHOD
5	1	4	1	3	3	855	753	110	38	96	FOR
5	1	4	1	3	4	979	753	362	38	93	CORRECTING
5	1	4	1	3	5	1832	752	83	50	95	(56)
5	1	4	1	3	6	2272	753	241	38	94	References
5	1	4	1	3	7	2529	753	120	38	96	Cited
4	1	4	1	4	0	602	816	917	38	-1	
5	1	4	1	4	1	602	816	367	38	95	ORIENTATION
5	1	4	1	4	2	986	816	71	38	95	OF
5	1	4	1	4	3	1072	816	201	38	94	PATENT
5	1	4	1	4	4	1290	816	229	38	88	FIGURES
4	1	4	1	5	0	2141	871	636	38	-1	
5	1	4	1	5	1	2141	871	90	38	96	U.S.
5	1	4	1	5	2	2250	871	188	38	96	PATENT
5	1	4	1	5	3	2453	871	324	38	95	DOCUMENTS
4	1	4	1	6	0	463	933	2626	60	-1	
5	1	4	1	6	1	463	933	83	51	87	(76)
5	1	4	1	6	2	602	934	184	38	86	Inventor:
5	1	4	1	6	3	847	934	180	38	79	Michael
5	1	4	1	6	4	1044	934	38	38	86	S.
5	1	4	1	6	5	1097	934	176	47	92	Neustel,
5	1	4	1	6	6	1290	934	130	50	96	Fargo,
5	1	4	1	6	7	1436	934	75	38	96	ND
5	1	4	1	6	8	1529	933	97	51	95	(US)
5	1	4	1	6	9	1940	952	184	41	89	4,658,430
5	1	4	1	6	10	2152	952	33	34	93	A
5	1	4	1	6	11	2217	951	17	20	80	*
5	1	4	1	6	12	2296	951	127	35	72	4/1987
5	1	4	1	6	13	2462	951	180	35	91	Anderson
5	1	4	1	6	14	2656	951	86	35	95	etal.
5	1	4	1	6	15	2769	979	145	7	75	..
5	1	4	1	6	16	2940	951	149	35	95	382/297
4	1	4	1	7	0	1941	1003	1148	46	-1	
5	1	4	1	7	1	1941	1005	183	41	96	6,148,149
5	1	4	1	7	2	2152	1005	33	33	95	A
5	1	4	1	7	3	2217	1003	17	20	92	*
5	1	4	1	7	4	2278	1003	145	35	85	11/2000
5	1	4	1	7	5	2462	1003	110	46	85	Kagle
