level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3600	4950	-1	
2	1	1	0	0	0	2240	249	405	45	-1	
3	1	1	1	0	0	2240	249	405	45	-1	
4	1	1	1	1	0	2240	249	405	45	-1	
5	1	1	1	1	1	2240	249	405	45	80	USO07742946B2
2	1	2	0	0	0	575	438	915	78	-1	
3	1	2	1	0	0	575	438	915	78	-1	
4	1	2	1	1	0	575	438	915	78	-1	
5	1	2	1	1	1	575	438	301	78	95	United
5	1	2	1	1	2	910	438	261	78	95	States
5	1	2	1	1	3	1201	439	289	77	96	Patent
2	1	3	0	0	0	460	655	2632	7	-1	
3	1	3	1	0	0	460	655	2632	7	-1	
4	1	3	1	1	0	460	655	2632	7	-1	
5	1	3	1	1	1	460	655	2632	7	95	 
2	1	4	0	0	0	463	454	2631	2407	-1	
3	1	4	1	0	0	463	454	2631	2407	-1	
4	1	4	1	1	0	463	454	2625	76	-1	
5	1	4	1	1	1	463	475	83	52	96	(12)
5	1	4	1	1	2	1902	475	83	52	95	(10)
5	1	4	1	1	3	2015	465	191	51	95	Patent
5	1	4	1	1	4	2228	465	119	51	94	No.:
5	1	4	1	1	5	2527	454	100	62	95	US
5	1	4	1	1	6	2652	454	322	76	95	7,742,946
5	1	4	1	1	7	2998	454	90	61	95	B2
4	1	4	1	2	0	573	552	2521	65	-1	
5	1	4	1	2	1	573	553	184	52	96	Banks
5	1	4	1	2	2	779	557	51	48	96	et
5	1	4	1	2	3	851	553	66	52	96	al.
5	1	4	1	2	4	1902	564	83	51	57	(4s)
5	1	4	1	2	5	2015	553	136	52	95	Date
5	1	4	1	2	6	2173	552	61	53	96	of
5	1	4	1	2	7	2248	553	210	52	95	Patent:
5	1	4	1	2	8	2704	553	125	52	96	Jun.
5	1	4	1	2	9	2852	552	84	65	95	22,
5	1	4	1	2	10	2957	552	137	53	96	2010
4	1	4	1	3	0	463	745	2626	52	-1	
5	1	4	1	3	1	463	745	83	52	94	(54)
5	1	4	1	3	2	601	747	367	38	74	ADVERTISING
5	1	4	1	3	3	983	747	162	38	96	SALES
5	1	4	1	3	4	1162	747	391	38	95	MANAGEMENT
5	1	4	1	3	5	1941	753	183	41	93	6,985,882
5	1	4	1	3	6	2152	751	82	35	77	B1*
5	1	4	1	3	7	2302	751	121	35	80	1/2006
5	1	4	1	3	8	2462	751	65	35	93	Del
5	1	4	1	3	9	2542	753	97	33	94	Sesto
5	1	4	1	3	10	2674	780	255	6	26	......
5	1	4	1	3	11	2964	751	125	35	93	705/37
4	1	4	1	4	0	603	810	2486	59	-1	
5	1	4	1	4	1	603	810	213	38	96	SYSTEM
5	1	4	1	4	2	1941	825	183	41	91	7,331,057
5	1	4	1	4	3	2152	823	82	35	77	B2*
5	1	4	1	4	4	2297	823	126	35	80	2/2008
5	1	4	1	4	5	2462	823	159	46	80	Eldering
5	1	4	1	4	6	2635	823	86	35	94	etal.
5	1	4	1	4	7	2752	852	190	6	64	......
5	1	4	1	4	8	2964	823	125	35	95	725/32
4	1	4	1	5	0	463	895	2626	83	-1	
