level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3150	4950	-1	
2	1	1	0	0	0	340	386	82	52	-1	
3	1	1	1	0	0	340	386	82	52	-1	
4	1	1	1	1	0	340	386	82	52	-1	
5	1	1	1	1	1	340	386	82	52	96	(12)
2	1	2	0	0	0	451	350	899	77	-1	
3	1	2	1	0	0	451	350	899	77	-1	
4	1	2	1	1	0	451	350	899	77	-1	
5	1	2	1	1	1	451	350	289	77	95	United
5	1	2	1	1	2	781	350	251	77	93	States
5	1	2	1	1	3	1072	351	278	76	95	Patent
2	1	3	0	0	0	2059	241	392	44	-1	
3	1	3	1	0	0	2059	241	392	44	-1	
4	1	3	1	1	0	2059	241	392	44	-1	
5	1	3	1	1	1	2059	241	392	44	71	USO06726623B2
2	1	4	0	0	0	1728	367	1148	74	-1	
3	1	4	1	0	0	1728	367	1148	74	-1	
4	1	4	1	1	0	1728	367	1148	74	-1	
5	1	4	1	1	1	1728	386	82	52	95	(10)
5	1	4	1	1	2	1839	376	186	51	95	Patent
5	1	4	1	1	3	2054	376	114	51	95	No.:
5	1	4	1	1	4	2319	367	96	60	95	US
5	1	4	1	1	5	2448	367	309	74	91	6,726,623
5	1	4	1	1	6	2788	367	88	59	95	B2
2	1	5	0	0	0	339	562	2540	5	-1	
3	1	5	1	0	0	339	562	2540	5	-1	
4	1	5	1	1	0	339	562	2540	5	-1	
5	1	5	1	1	1	339	562	2540	5	95	 
2	1	6	0	0	0	672	1968	502	5	-1	
3	1	6	1	0	0	672	1968	502	5	-1	
4	1	6	1	1	0	672	1968	502	5	-1	
5	1	6	1	1	1	672	1968	502	5	95	 
2	1	7	0	0	0	340	460	2539	2016	-1	
3	1	7	1	0	0	340	460	2539	2016	-1	
4	1	7	1	1	0	449	460	2429	66	-1	
5	1	7	1	1	1	449	460	273	66	31	Zicgewski
5	1	7	1	1	2	1728	472	82	52	91	(45)
