level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3150	4950	-1	
2	1	1	0	0	0	451	350	900	77	-1	
3	1	1	1	0	0	451	350	900	77	-1	
4	1	1	1	1	0	451	350	900	77	-1	
5	1	1	1	1	1	451	350	289	77	95	United
5	1	1	1	1	2	781	350	251	77	94	States
5	1	1	1	1	3	1072	351	279	76	94	Patent
2	1	2	0	0	0	2032	254	390	44	-1	
3	1	2	1	0	0	2032	254	390	44	-1	
4	1	2	1	1	0	2032	254	390	44	-1	
5	1	2	1	1	1	2032	254	390	44	56	USO06508383B2
2	1	3	0	0	0	339	562	2540	5	-1	
3	1	3	1	0	0	339	562	2540	5	-1	
4	1	3	1	1	0	339	562	2540	5	-1	
5	1	3	1	1	1	339	562	2540	5	95	 
2	1	4	0	0	0	672	1805	642	5	-1	
3	1	4	1	0	0	672	1805	642	5	-1	
4	1	4	1	1	0	672	1805	642	5	-1	
5	1	4	1	1	1	672	1805	642	5	95	 
2	1	5	0	0	0	672	1872	528	3	-1	
3	1	5	1	0	0	672	1872	528	3	-1	
4	1	5	1	1	0	672	1872	528	3	-1	
5	1	5	1	1	1	672	1872	528	3	95	 
2	1	6	0	0	0	340	367	2542	2179	-1	
3	1	6	1	0	0	340	367	2542	2179	-1	
4	1	6	1	1	0	340	367	2536	74	-1	
5	1	6	1	1	1	340	386	82	52	96	(12)
5	1	6	1	1	2	1728	386	82	52	95	(10)
5	1	6	1	1	3	1839	376	186	51	95	Patent
5	1	6	1	1	4	2054	376	114	51	96	No.:
5	1	6	1	1	5	2319	367	96	60	95	US
5	1	6	1	1	6	2448	367	309	74	95	6,508,383
5	1	6	1	1	7	2788	367	88	59	95	B2
4	1	6	1	2	0	447	460	2433	65	-1	
5	1	6	1	2	1	447	460	189	53	83	Lidabl
5	1	6	1	2	2	662	466	49	47	96	et
5	1	6	1	2	3	738	462	63	51	95	al.
5	1	6	1	2	4	1728	472	82	52	85	(45)
5	1	6	1	2	5	1839	462	132	51	95	Date
5	1	6	1	2	6	1998	460	58	53	96	of
5	1	6	1	2	7	2075	462	204	51	94	Patent:
5	1	6	1	2	8	2508	462	118	55	95	Jan.
