level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3150	4950	-1	
2	1	1	0	0	0	340	350	1011	88	-1	
3	1	1	1	0	0	340	350	1011	88	-1	
4	1	1	1	1	0	340	350	1011	88	-1	
5	1	1	1	1	1	340	386	82	52	85	a»
5	1	1	1	1	2	451	350	289	77	94	United
5	1	1	1	1	3	781	350	251	77	95	States
5	1	1	1	1	4	1072	351	279	76	94	Patent
2	1	2	0	0	0	2032	254	387	44	-1	
3	1	2	1	0	0	2032	254	387	44	-1	
4	1	2	1	1	0	2032	254	387	44	-1	
5	1	2	1	1	1	2032	254	387	44	68	USO06189747B1
2	1	3	0	0	0	1728	367	1147	74	-1	
3	1	3	1	0	0	1728	367	1147	74	-1	
4	1	3	1	1	0	1728	367	1147	74	-1	
5	1	3	1	1	1	1728	386	82	52	95	(10)
5	1	3	1	1	2	1839	376	186	51	95	Patent
5	1	3	1	1	3	2054	376	114	51	95	No.:
5	1	3	1	1	4	2319	367	96	60	95	US
5	1	3	1	1	5	2448	367	311	74	95	6,189,747
5	1	3	1	1	6	2788	367	87	59	85	BI
2	1	4	0	0	0	339	561	2540	7	-1	
3	1	4	1	0	0	339	561	2540	7	-1	
4	1	4	1	1	0	339	561	2540	7	-1	
5	1	4	1	1	1	339	561	2540	7	95	 
2	1	5	0	0	0	681	1497	593	6	-1	
3	1	5	1	0	0	681	1497	593	6	-1	
4	1	5	1	1	0	681	1497	593	6	-1	
5	1	5	1	1	1	681	1497	593	6	95	 
2	1	6	0	0	0	669	1561	695	7	-1	
3	1	6	1	0	0	669	1561	695	7	-1	
4	1	6	1	1	0	669	1561	695	7	-1	
5	1	6	1	1	1	669	1561	695	7	95	 
2	1	7	0	0	0	1529	2226	22	1067	-1	
3	1	7	1	0	0	1529	2226	22	1067	-1	
4	1	7	1	1	0	1529	2226	22	1067	-1	
5	1	7	1	1	1	1529	2226	22	1067	95	 
2	1	8	0	0	0	1526	2360	23	933	-1	
3	1	8	1	0	0	1526	2360	23	933	-1	
4	1	8	1	1	0	1526	2360	23	933	-1	
5	1	8	1	1	1	1526	2360	23	933	95	 
2	1	9	0	0	0	340	460	2542	3478	-1	
3	1	9	1	0	0	340	460	2542	3478	-1	
4	1	9	1	1	0	449	460	2422	66	-1	
5	1	9	1	1	1	449	460	333	66	90	Collingham
5	1	9	1	1	2	809	466	49	47	95	et
5	1	9	1	1	3	885	462	63	51	95	al.
5	1	9	1	1	4	1728	472	82	52	83	(45)
5	1	9	1	1	5	1839	462	132	51	95	Date
5	1	9	1	1	6	1998	460	58	53	96	of
5	1	9	1	1	7	2075	462	204	51	94	Patent:
5	1	9	1	1	8	2497	462	122	51	93	Feb.
5	1	9	1	1	9	2640	460	81	65	96	20,
5	1	9	1	1	10	2742	460	129	53	95	2001
4	1	9	1	2	0	340	726	2538	52	-1	
5	1	9	1	2	1	340	726	82	52	93	(54)
5	1	9	1	2	2	476	727	146	39	48	HAND
5	1	9	1	2	3	642	727	206	39	95	SEWING
5	1	9	1	2	4	868	727	206	39	96	NEEDLE
5	1	9	1	2	5	1750	729	180	41	96	3,197,997
5	1	9	1	2	6	1962	729	15	17	75	*
5	1	9	1	2	7	2026	728	123	37	75	8/1965
5	1	9	1	2	8	2187	729	101	32	77	KUIZ
5	1	9	1	2	9	2319	755	389	6	0	......)
5	1	9	1	2	10	2732	729	146	36	95	223/102
4	1	9	1	3	0	1750	783	1128	42	-1	
5	1	9	1	3	1	1750	783	177	42	94	5,693,071
5	1	9	1	3	2	1962	784	15	17	94	*
5	1	9	1	3	3	2007	784	143	36	94	12/1997
5	1	9	1	3	4	2187	783	143	33	94	Gorecki
5	1	9	1	3	5	2347	787	32	29	95	et
5	1	9	1	3	6	2395	783	39	33	93	al.
5	1	9	1	3	7	2732	784	146	36	96	606/222
4	1	9	1	4	0	340	836	2538	57	-1	
5	1	9	1	4	1	340	841	82	52	83	(76)
5	1	9	1	4	2	476	844	199	36	96	Inventors:
5	1	9	1	4	3	710	842	136	42	79	James
5	1	9	1	4	4	865	842	46	38	95	C.
5	1	9	1	4	5	931	842	264	50	54	Collingham,
5	1	9	1	4	6	1216	842	140	38	95	Teresa
5	1	9	1	4	7	1370	842	48	38	96	A.
5	1	9	1	4	8	1750	836	178	43	64	6,006,965
5	1	9	1	4	9	1962	838	15	17	96	*
5	1	9	1	4	10	2007	838	142	36	81	12/1999
5	1	9	1	4	11	2187	838	163	32	81	Hamman
5	1	9	1	4	12	2732	838	146	36	95	223/102
4	1	9	1	5	0	711	903	1295	60	-1	
5	1	9	1	5	1	711	903	266	50	79	Collingham,
5	1	9	1	5	2	994	903	90	38	96	both
5	1	9	1	5	3	1103	903	44	38	96	of
5	1	9	1	5	4	1164	905	48	36	96	62
5	1	9	1	5	5	1227	903	123	38	96	Alden
5	1	9	1	5	6	1365	905	105	45	94	Ave.,
5	1	9	1	5	7	1663	942	72	21	39	ous
5	1	9	1	5	8	2000	942	6	6	67	,
4	1	9	1	6	0	710	942	1364	73	-1	
5	1	9	1	6	1	710	964	179	46	95	Yonkers,
5	1	9	1	6	2	908	966	73	36	96	NY
5	1	9	1	6	3	997	963	96	52	95	(US)
5	1	9	1	6	4	1117	966	121	36	96	10710
5	1	9	1	6	5	1703	942	96	38	96	cited
5	1	9	1	6	6	1817	943	50	49	97	by
5	1	9	1	6	7	1886	955	188	25	95	examiner
4	1	9	1	7	0	340	1069	2073	61	-1	
5	1	9	1	7	1	340	1077	79	53	92	(*)
5	1	9	1	7	2	473	1079	143	38	92	Notice:
5	1	9	1	7	3	0	0	3150	4950	73	_
5	1	9	1	7	4	711	1079	127	38	92	Under
5	1	9	1	7	5	855	1079	48	38	95	35
5	1	9	1	7	6	922	1080	133	37	92	U.S.C.
5	1	9	1	7	7	1079	1077	142	53	92	154(b),
5	1	9	1	7	8	1240	1079	59	38	96	the
5	1	9	1	7	9	1319	1085	90	32	96	term
5	1	9	1	7	10	1428	1079	44	38	94	of
5	1	9	1	7	11	1486	1079	73	38	95	this
5	1	9	1	7	12	0	0	3150	4950	74	__
5	1	9	1	7	13	1656	1070	172	48	93	Primary
5	1	9	1	7	14	1843	1069	370	38	91	Examiner-Bibhu
5	1	9	1	7	15	2232	1069	181	49	95	Mohanty
4	1	9	1	8	0	710	1128	2013	60	-1	
5	1	9	1	8	1	710	1144	125	44	96	patent
5	1	9	1	8	2	853	1139	95	37	96	shall
5	1	9	1	8	3	966	1138	45	38	96	be
5	1	9	1	8	4	1031	1138	182	38	96	extended
5	1	9	1	8	5	1232	1138	57	38	95	for
5	1	9	1	8	6	1316	1140	24	36	91	0
5	1	9	1	8	7	1359	1138	102	50	95	days.
5	1	9	1	8	8	1660	1128	82	52	94	(74)
5	1	9	1	8	9	1764	1131	185	48	57	Attorney,
5	1	9	1	8	10	1965	1131	131	48	91	Agent,
5	1	9	1	8	11	2120	1143	45	25	93	or
5	1	9	1	8	12	2180	1130	314	38	89	Firm-Michael
5	1	9	1	8	13	2513	1131	37	37	93	S.
5	1	9	1	8	14	2572	1130	151	38	91	Neustel
4	1	9	1	9	0	1677	1225	730	38	-1	
5	1	9	1	9	1	1677	1226	49	37	96	57
5	1	9	1	9	2	2130	1225	277	38	91	ABSTRACT
4	1	9	1	10	0	340	1224	1402	99	-1	
5	1	9	1	10	1	340	1271	82	52	93	(21)
5	1	9	1	10	2	475	1272	110	49	83	Appl.
5	1	9	1	10	3	605	1273	85	37	93	No.:
5	1	9	1	10	4	711	1272	229	48	90	09/481,884
5	1	9	1	10	5	1660	1224	82	52	88	67
4	1	9	1	11	0	509	1329	2373	58	-1	
5	1	9	1	11	1	509	1368	79	19	65	maa.
5	1	9	1	11	2	1659	1330	38	36	95	A
5	1	9	1	11	3	1716	1329	97	37	94	hand
5	1	9	1	11	4	1836	1329	141	49	96	sewing
5	1	9	1	11	5	2002	1329	129	37	96	needle
5	1	9	1	11	6	2155	1329	58	37	96	for
5	1	9	1	11	7	2236	1329	230	49	95	eliminating
5	1	9	1	11	8	2489	1329	58	37	95	the
5	1	9	1	11	9	2573	1329	242	49	95	requirement
5	1	9	1	11	10	2838	1329	44	37	95	of
4	1	9	1	12	0	340	1366	2539	73	-1	
5	1	9	1	12	1	340	1366	82	53	91	(22)
5	1	9	1	12	2	476	1368	112	38	81	Filed:
5	1	9	1	12	3	710	1368	91	42	96	Jan.
5	1	9	1	12	4	823	1368	58	48	96	12,
5	1	9	1	12	5	900	1368	101	38	95	2000
5	1	9	1	12	6	1660	1390	145	49	96	turning
5	1	9	1	12	7	1828	1390	58	37	96	the
5	1	9	1	12	8	1909	1390	97	37	96	hand
5	1	9	1	12	9	2029	1390	142	49	96	sewing
5	1	9	1	12	10	2194	1390	129	37	96	needle
5	1	9	1	12	11	2347	1390	90	37	96	after
5	1	9	1	12	12	2460	1390	90	37	95	each
5	1	9	1	12	13	2572	1403	85	36	96	pass
5	1	9	1	12	14	2679	1390	157	49	95	through
5	1	9	1	12	15	2860	1403	19	24	96	a
4	1	9	1	13	0	340	1449	2538	67	-1	
5	1	9	1	13	1	340	1464	82	52	93	(51)
5	1	9	1	13	2	476	1465	73	38	73	Int.
5	1	9	1	13	3	568	1458	82	45	75	CI."
5	1	9	1	13	4	1306	1465	119	38	57	DOSB
5	1	9	1	13	5	1444	1465	113	44	87	85/00
5	1	9	1	13	6	1659	1449	105	50	96	piece
5	1	9	1	13	7	1787	1449	42	38	95	of
