level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3600	4950	-1	
2	1	1	0	0	0	2240	249	401	45	-1	
3	1	1	1	0	0	2240	249	401	45	-1	
4	1	1	1	1	0	2240	249	401	45	-1	
5	1	1	1	1	1	2240	249	401	45	83	USO07414208B1
2	1	2	0	0	0	460	654	2632	9	-1	
3	1	2	1	0	0	460	654	2632	9	-1	
4	1	2	1	1	0	460	654	2632	9	-1	
5	1	2	1	1	1	460	654	2632	9	95	 
2	1	3	0	0	0	463	438	2631	861	-1	
3	1	3	1	0	0	463	438	2623	92	-1	
4	1	3	1	1	0	463	438	2623	92	-1	
5	1	3	1	1	1	463	475	83	52	84	a»
5	1	3	1	1	2	575	439	301	77	95	United
5	1	3	1	1	3	910	438	261	78	96	States
5	1	3	1	1	4	1201	439	289	77	95	Patent
5	1	3	1	1	5	1902	475	83	52	95	(10)
5	1	3	1	1	6	2015	465	191	51	96	Patent
5	1	3	1	1	7	2228	465	119	51	91	No.:
5	1	3	1	1	8	0	0	3600	4950	57	-_
5	1	3	1	1	9	2527	454	100	62	95	US
5	1	3	1	1	10	2652	454	322	76	95	7,414,208
5	1	3	1	1	11	2998	454	88	61	89	B1
3	1	3	2	0	0	571	552	2511	68	-1	
4	1	3	2	1	0	571	552	2511	68	-1	
5	1	3	2	1	1	571	552	225	68	91	Vergari
5	1	3	2	1	2	817	557	51	48	96	et
5	1	3	2	1	3	890	553	65	52	95	al.
5	1	3	2	1	4	1902	564	83	51	81	(45)
5	1	3	2	1	5	2015	553	136	52	95	Date
5	1	3	2	1	6	2173	552	61	53	96	of
5	1	3	2	1	7	2248	553	210	52	95	Patent:
5	1	3	2	1	8	2679	552	139	68	94	Aug.
5	1	3	2	1	9	2843	552	82	64	94	19,
5	1	3	2	1	10	2946	552	136	53	95	2008
3	1	3	3	0	0	463	745	2626	52	-1	
4	1	3	3	1	0	463	745	2626	52	-1	
5	1	3	3	1	1	463	745	83	52	94	(54)
5	1	3	3	1	2	602	747	177	38	69	ULTRA
5	1	3	3	1	3	795	747	124	38	95	LOW
5	1	3	3	1	4	934	747	270	38	96	PRESSURE
5	1	3	3	1	5	1224	747	211	38	96	SWITCH
5	1	3	3	1	6	1940	753	183	41	96	4,194,103
5	1	3	3	1	7	2152	753	33	33	93	A
5	1	3	3	1	8	2217	751	17	20	60	*
5	1	3	3	1	9	2297	751	126	35	85	3/1980
5	1	3	3	1	10	2463	751	109	35	91	Smith
5	1	3	3	1	11	2595	780	323	6	6	...............cl.l.l...
5	1	3	3	1	12	2940	752	149	34	96	200/456
3	1	3	4	0	0	601	808	2490	43	-1	
4	1	3	4	1	0	601	808	2490	43	-1	
5	1	3	4	1	1	601	810	361	38	94	ADJUSTMENT
5	1	3	4	1	2	979	810	214	38	95	SYSTEM
5	1	3	4	1	3	1940	810	184	41	96	4,215,254
5	1	3	4	1	4	2152	810	33	33	92	A
5	1	3	4	1	5	2217	808	17	20	66	*
5	1	3	4	1	6	2297	808	126	35	87	7/1980
5	1	3	4	1	7	2462	808	90	35	86	Ohki
5	1	3	4	1	8	2583	837	308	6	0	......
5	1	3	4	1	9	2921	808	125	35	96	200/83
5	1	3	4	1	10	3063	810	28	33	96	C
3	1	3	5	0	0	1940	864	1151	42	-1	
4	1	3	5	1	0	1940	864	1151	42	-1	
5	1	3	5	1	1	1940	865	184	41	89	4,410,776
5	1	3	5	1	2	2152	865	33	34	92	A
5	1	3	5	1	3	2217	864	17	20	92	*
5	1	3	5	1	4	2278	864	143	35	88	10/1983
5	1	3	5	1	5	2463	864	85	35	88	Stoll
5	1	3	5	1	6	2583	892	308	7	28	......
5	1	3	5	1	7	2926	864	125	35	96	200/83
5	1	3	5	1	8	3067	865	24	34	96	P
3	1	3	6	0	0	463	921	2631	101	-1	
4	1	3	6	1	0	463	921	2631	90	-1	
5	1	3	6	1	1	463	927	83	51	94	(75)
5	1	3	6	1	2	602	934	204	38	77	Inventors:
