level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3150	4950	-1	
2	1	1	0	0	0	2025	254	401	44	-1	
3	1	1	1	0	0	2025	254	401	44	-1	
4	1	1	1	1	0	2025	254	401	44	-1	
5	1	1	1	1	1	2025	254	401	44	32	USOO0D449645B1
2	1	2	0	0	0	340	422	2536	99	-1	
3	1	2	1	0	0	340	422	2536	99	-1	
4	1	2	1	1	0	340	422	2536	99	-1	
5	1	2	1	1	1	340	459	82	52	65	(>
5	1	2	1	1	2	451	422	289	78	96	United
5	1	2	1	1	3	781	422	251	78	96	States
5	1	2	1	1	4	1072	422	289	99	95	Design
5	1	2	1	1	5	1399	424	278	76	95	Patent
5	1	2	1	1	6	1728	459	82	52	73	(0
5	1	2	1	1	7	1839	449	186	51	95	Patent
5	1	2	1	1	8	2054	449	114	51	96	No.:
5	1	2	1	1	9	2369	440	97	60	91	US
5	1	2	1	1	10	2497	440	309	74	91	D449,645
5	1	2	1	1	11	2840	440	36	60	87	S
2	1	3	0	0	0	339	634	2540	7	-1	
3	1	3	1	0	0	339	634	2540	7	-1	
4	1	3	1	1	0	339	634	2540	7	-1	
5	1	3	1	1	1	339	634	2540	7	95	 
2	1	4	0	0	0	771	1411	639	5	-1	
3	1	4	1	0	0	771	1411	639	5	-1	
4	1	4	1	1	0	771	1411	639	5	-1	
5	1	4	1	1	1	771	1411	639	5	95	 
2	1	5	0	0	0	669	1478	707	6	-1	
3	1	5	1	0	0	669	1478	707	6	-1	
4	1	5	1	1	0	669	1478	707	6	-1	
5	1	5	1	1	1	669	1478	707	6	95	 
2	1	6	0	0	0	340	533	2539	1051	-1	
3	1	6	1	0	0	340	533	2536	360	-1	
4	1	6	1	1	0	449	533	2422	65	-1	
5	1	6	1	1	1	449	533	156	65	95	Gung
5	1	6	1	1	2	1728	545	82	52	90	(45)
5	1	6	1	1	3	1839	534	132	51	95	Date
5	1	6	1	1	4	1998	533	58	52	96	of
5	1	6	1	1	5	2075	534	204	51	94	Patent:
5	1	6	1	1	6	0	0	3150	4950	20	_
5	1	6	1	1	7	2377	558	60	32	43	#s
5	1	6	1	1	8	2502	533	117	52	90	Oct.
5	1	6	1	1	9	2640	533	81	65	94	23,
5	1	6	1	1	10	2742	533	129	52	96	2001
4	1	6	1	2	0	340	726	2536	52	-1	
5	1	6	1	2	1	340	726	82	52	82	(54)
5	1	6	1	2	2	476	727	195	39	96	BINDER
5	1	6	1	2	3	691	727	204	38	96	SYSTEM
5	1	6	1	2	4	1750	728	180	42	95	6,079,528
5	1	6	1	2	5	1962	729	15	17	84	*
5	1	6	1	2	6	2026	729	124	36	81	6/2000
5	1	6	1	2	7	2187	729	98	32	5	MOO
5	1	6	1	2	8	2308	755	400	6	0	......
5	1	6	1	2	9	2735	729	141	36	95	190/126
4	1	6	1	3	0	340	819	1734	74	-1	
5	1	6	1	3	1	340	841	82	52	85	(75)
5	1	6	1	3	2	476	844	180	36	82	Inventor:
5	1	6	1	3	3	711	842	236	50	88	Chi-Cheng
5	1	6	1	3	4	967	842	131	50	96	Gung,
5	1	6	1	3	5	1118	842	173	46	95	Stafford,
5	1	6	1	3	6	1310	844	66	36	95	TX
5	1	6	1	3	7	1394	841	97	52	95	(US)
5	1	6	1	3	8	1663	820	17	19	96	*
5	1	6	1	3	9	1703	819	96	38	96	cited
