level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3600	4950	-1	
2	1	1	0	0	0	463	438	1027	89	-1	
3	1	1	1	0	0	463	438	1027	89	-1	
4	1	1	1	1	0	463	438	1027	89	-1	
5	1	1	1	1	1	463	475	83	52	93	a»
5	1	1	1	1	2	575	438	301	78	95	United
5	1	1	1	1	3	910	438	261	78	94	States
5	1	1	1	1	4	1201	439	289	77	95	Patent
2	1	2	0	0	0	573	552	292	53	-1	
3	1	2	1	0	0	573	552	292	53	-1	
4	1	2	1	1	0	573	552	292	53	-1	
5	1	2	1	1	1	573	552	292	53	89	Manishen
2	1	3	0	0	0	2240	249	405	45	-1	
3	1	3	1	0	0	2240	249	405	45	-1	
4	1	3	1	1	0	2240	249	405	45	-1	
5	1	3	1	1	1	2240	249	405	45	80	USO07766008B2
2	1	4	0	0	0	2527	454	561	166	-1	
3	1	4	1	0	0	2527	454	561	166	-1	
4	1	4	1	1	0	2527	454	561	76	-1	
5	1	4	1	1	1	2527	454	100	62	92	US
5	1	4	1	1	2	2652	454	322	76	95	7,766,008
5	1	4	1	1	3	2998	454	90	61	95	B2
4	1	4	1	2	0	2714	552	368	68	-1	
5	1	4	1	2	1	2714	552	139	68	96	Aug.
5	1	4	1	2	2	2875	552	50	64	96	3,
5	1	4	1	2	3	2946	552	136	53	96	2010
2	1	5	0	0	0	1902	465	556	150	-1	
3	1	5	1	0	0	1902	465	556	150	-1	
4	1	5	1	1	0	1902	465	445	62	-1	
5	1	5	1	1	1	1902	475	83	52	96	(10)
5	1	5	1	1	2	2015	465	191	51	95	Patent
5	1	5	1	1	3	2228	465	119	51	95	No.:
4	1	5	1	2	0	1902	552	556	63	-1	
5	1	5	1	2	1	1902	564	83	51	82	(45)
5	1	5	1	2	2	2015	553	136	52	96	Date
5	1	5	1	2	3	2173	552	61	53	96	of
5	1	5	1	2	4	2248	553	210	52	94	Patent:
2	1	6	0	0	0	460	655	2632	7	-1	
3	1	6	1	0	0	460	655	2632	7	-1	
4	1	6	1	1	0	460	655	2632	7	-1	
5	1	6	1	1	1	460	655	2632	7	95	 
2	1	7	0	0	0	463	759	83	150	-1	
3	1	7	1	0	0	463	759	83	150	-1	
4	1	7	1	1	0	463	759	83	51	-1	
5	1	7	1	1	1	463	759	83	51	88	(54)
4	1	7	1	2	0	463	858	83	51	-1	
5	1	7	1	2	1	463	858	83	51	95	(76)
2	1	8	0	0	0	463	1039	83	52	-1	
3	1	8	1	0	0	463	1039	83	52	-1	
4	1	8	1	1	0	463	1039	83	52	-1	
5	1	8	1	1	1	463	1039	83	52	96	(*)
2	1	9	0	0	0	463	1276	83	176	-1	
3	1	9	1	0	0	463	1276	83	176	-1	
4	1	9	1	1	0	463	1276	83	52	-1	
5	1	9	1	1	1	463	1276	83	52	96	(21)
4	1	9	1	2	0	463	1401	83	51	-1	
5	1	9	1	2	1	463	1401	83	51	95	(22)
2	1	10	0	0	0	463	1525	83	52	-1	
3	1	10	1	0	0	463	1525	83	52	-1	
4	1	10	1	1	0	463	1525	83	52	-1	
5	1	10	1	1	1	463	1525	83	52	94	(65)
2	1	11	0	0	0	463	1849	83	52	-1	
3	1	11	1	0	0	463	1849	83	52	-1	
4	1	11	1	1	0	463	1849	83	52	-1	
5	1	11	1	1	1	463	1849	83	52	94	(60)
2	1	12	0	0	0	463	2043	83	51	-1	
3	1	12	1	0	0	463	2043	83	51	-1	
4	1	12	1	1	0	463	2043	83	51	-1	
5	1	12	1	1	1	463	2043	83	51	88	(51)
2	1	13	0	0	0	463	2598	83	51	-1	
3	1	13	1	0	0	463	2598	83	51	-1	
4	1	13	1	1	0	463	2598	83	51	-1	
5	1	13	1	1	1	463	2598	83	51	90	(52)
2	1	14	0	0	0	463	2878	83	52	-1	
3	1	14	1	0	0	463	2878	83	52	-1	
4	1	14	1	1	0	463	2878	83	52	-1	
5	1	14	1	1	1	463	2878	83	52	95	(58)
2	1	15	0	0	0	602	760	922	38	-1	
3	1	15	1	0	0	602	760	922	38	-1	
4	1	15	1	1	0	602	760	922	38	-1	
5	1	15	1	1	1	602	760	346	38	95	ENDOSCOPIC
5	1	15	1	1	2	967	760	121	38	95	BITE
5	1	15	1	1	3	1104	760	190	38	92	BLOCK
5	1	15	1	1	4	1310	760	214	38	95	SYSTEM
2	1	16	0	0	0	601	870	1121	221	-1	
3	1	16	1	0	0	601	870	1121	221	-1	
4	1	16	1	1	0	602	870	978	51	-1	
5	1	16	1	1	1	602	871	184	38	93	Inventor:
