level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3600	4950	-1	
2	1	1	0	0	0	463	438	1045	89	-1	
3	1	1	1	0	0	463	438	1045	89	-1	
4	1	1	1	1	0	463	438	1045	89	-1	
5	1	1	1	1	1	463	475	83	52	93	a»
5	1	1	1	1	2	575	438	301	78	95	United
5	1	1	1	1	3	919	438	260	78	94	States
5	1	1	1	1	4	1218	439	290	77	94	Patent
2	1	2	0	0	0	574	552	349	53	-1	
3	1	2	1	0	0	574	552	349	53	-1	
4	1	2	1	1	0	574	552	349	53	-1	
5	1	2	1	1	1	574	552	177	53	94	Tilton
5	1	2	1	1	2	779	557	51	48	95	et
5	1	2	1	1	3	857	553	66	52	95	al.
2	1	3	0	0	0	2240	249	401	45	-1	
3	1	3	1	0	0	2240	249	401	45	-1	
4	1	3	1	1	0	2240	249	401	45	-1	
5	1	3	1	1	1	2240	249	401	45	82	USO07216695B1
2	1	4	0	0	0	2511	454	576	166	-1	
3	1	4	1	0	0	2511	454	576	166	-1	
4	1	4	1	1	0	2511	454	575	76	-1	
5	1	4	1	1	1	2511	454	100	62	95	US
5	1	4	1	1	2	2645	454	322	76	95	7,216,695
5	1	4	1	1	3	2998	454	88	61	69	BI
4	1	4	1	2	0	2657	552	430	68	-1	
5	1	4	1	2	1	2657	552	168	68	96	*May
5	1	4	1	2	2	2847	552	82	65	96	15,
5	1	4	1	2	3	2950	552	137	53	96	2007
2	1	5	0	0	0	1902	465	568	150	-1	
3	1	5	1	0	0	1902	465	568	150	-1	
4	1	5	1	1	0	1902	465	453	62	-1	
5	1	5	1	1	1	1902	475	83	52	96	(10)
5	1	5	1	1	2	2015	465	192	51	96	Patent
5	1	5	1	1	3	2237	465	118	51	96	No.:
4	1	5	1	2	0	1902	552	568	63	-1	
5	1	5	1	2	1	1902	564	83	51	79	(45)
5	1	5	1	2	2	2015	553	136	52	95	Date
5	1	5	1	2	3	2179	552	61	53	96	of
5	1	5	1	2	4	2259	553	211	52	95	Patent:
2	1	6	0	0	0	460	654	2632	9	-1	
3	1	6	1	0	0	460	654	2632	9	-1	
4	1	6	1	1	0	460	654	2632	9	-1	
5	1	6	1	1	1	460	654	2632	9	95	 
2	1	7	0	0	0	463	745	83	52	-1	
3	1	7	1	0	0	463	745	83	52	-1	
4	1	7	1	1	0	463	745	83	52	-1	
5	1	7	1	1	1	463	745	83	52	92	(54)
2	1	8	0	0	0	463	927	83	51	-1	
3	1	8	1	0	0	463	927	83	51	-1	
4	1	8	1	1	0	463	927	83	51	-1	
5	1	8	1	1	1	463	927	83	51	95	(75)
2	1	9	0	0	0	463	1363	83	52	-1	
3	1	9	1	0	0	463	1363	83	52	-1	
4	1	9	1	1	0	463	1363	83	52	-1	
5	1	9	1	1	1	463	1363	83	52	95	(73)
2	1	10	0	0	0	463	1543	83	52	-1	
3	1	10	1	0	0	463	1543	83	52	-1	
4	1	10	1	1	0	463	1543	83	52	-1	
