level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3600	4950	-1	
2	1	1	0	0	0	2240	249	401	45	-1	
3	1	1	1	0	0	2240	249	401	45	-1	
4	1	1	1	1	0	2240	249	401	45	-1	
5	1	1	1	1	1	2240	249	401	45	80	USO07721373B1
2	1	2	0	0	0	460	654	2632	9	-1	
3	1	2	1	0	0	460	654	2632	9	-1	
4	1	2	1	1	0	460	654	2632	9	-1	
5	1	2	1	1	1	460	654	2632	9	95	 
2	1	3	0	0	0	806	1760	612	2	-1	
3	1	3	1	0	0	806	1760	612	2	-1	
4	1	3	1	1	0	806	1760	612	2	-1	
5	1	3	1	1	1	806	1760	612	2	95	 
2	1	4	0	0	0	463	438	2635	1824	-1	
3	1	4	1	0	0	463	438	2635	1824	-1	
4	1	4	1	1	0	463	438	2623	92	-1	
5	1	4	1	1	1	463	475	83	52	84	a»
5	1	4	1	1	2	575	439	301	77	95	United
5	1	4	1	1	3	910	438	261	78	96	States
5	1	4	1	1	4	1201	439	289	77	95	Patent
5	1	4	1	1	5	1902	475	83	52	95	(10)
5	1	4	1	1	6	2015	465	191	51	96	Patent
5	1	4	1	1	7	2228	465	119	51	89	No.:
5	1	4	1	1	8	0	0	3600	4950	70	-_
5	1	4	1	1	9	2527	454	100	62	93	US
5	1	4	1	1	10	2652	454	321	76	95	7,721,373
5	1	4	1	1	11	2998	454	88	61	87	B1
4	1	4	1	2	0	571	552	2514	68	-1	
5	1	4	1	2	1	571	552	207	53	95	Wilson
5	1	4	1	2	2	1902	564	83	51	57	(4s)
5	1	4	1	2	3	2015	553	136	52	95	Date
5	1	4	1	2	4	2173	552	61	53	96	of
5	1	4	1	2	5	2248	553	210	52	95	Patent:
5	1	4	1	2	6	2690	553	135	67	96	May
5	1	4	1	2	7	2845	552	84	65	95	25,
5	1	4	1	2	8	2950	552	135	53	95	2010
4	1	4	1	3	0	463	745	2625	52	-1	
5	1	4	1	3	1	463	745	83	52	68	(54)
5	1	4	1	3	2	602	747	280	38	68	RAILROAD
5	1	4	1	3	3	898	747	334	38	92	FLANGEWAY
5	1	4	1	3	4	1248	747	256	38	95	CLEANER
5	1	4	1	3	5	1975	753	149	41	96	496,049
5	1	4	1	3	6	2152	753	33	33	96	A
5	1	4	1	3	7	2217	751	17	20	63	*
5	1	4	1	3	8	2296	751	125	35	82	4/1893
5	1	4	1	3	9	2462	751	153	46	93	Fleming
5	1	4	1	3	10	2649	780	308	6	53	......
5	1	4	1	3	11	2991	751	97	35	96	15/55
4	1	4	1	4	0	603	810	2485	50	-1	
5	1	4	1	4	1	603	810	213	38	93	SYSTEM
5	1	4	1	4	2	1941	816	183	41	96	2,719,312
5	1	4	1	4	3	2152	816	33	33	96	A
5	1	4	1	4	4	2217	814	17	20	89	*
5	1	4	1	4	5	2278	814	143	35	89	10/1955
5	1	4	1	4	6	2462	814	136	46	92	Hyland
5	1	4	1	4	7	2622	843	335	6	18	...................c.......
5	1	4	1	4	8	2991	814	97	35	96	15/55
4	1	4	1	5	0	1943	877	1146	43	-1	
5	1	4	1	5	1	1943	879	181	41	96	5,540,004
5	1	4	1	5	2	2152	879	33	33	93	A
5	1	4	1	5	3	2217	877	17	20	75	*
5	1	4	1	5	4	2297	877	126	35	84	7/1996
5	1	4	1	5	5	2462	879	171	33	94	Patterson
5	1	4	1	5	6	2648	882	31	30	94	et
5	1	4	1	5	7	2693	877	40	35	92	al.
5	1	4	1	5	8	2764	906	178	6	77	..............
5	1	4	1	5	9	2964	878	125	34	95	37/244
4	1	4	1	6	0	463	927	2626	57	-1	
5	1	4	1	6	1	463	927	83	51	85	(76)
5	1	4	1	6	2	602	934	184	38	81	Inventor:
5	1	4	1	6	3	848	934	190	50	69	Timothy
5	1	4	1	6	4	1052	934	48	38	95	R.
5	1	4	1	6	5	1113	934	167	47	95	Wilson,
5	1	4	1	6	6	1303	934	95	38	96	1805
5	1	4	1	6	7	1418	957	13	5	96	-
