level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3150	4950	-1	
2	1	1	0	0	0	2044	254	369	44	-1	
3	1	1	1	0	0	2044	254	369	44	-1	
4	1	1	1	1	0	2044	254	369	44	-1	
5	1	1	1	1	1	2044	254	369	44	42	USO05904033A
2	1	2	0	0	0	339	546	2540	5	-1	
3	1	2	1	0	0	339	546	2540	5	-1	
4	1	2	1	1	0	339	546	2540	5	-1	
5	1	2	1	1	1	339	546	2540	5	95	 
2	1	3	0	0	0	681	1189	593	6	-1	
3	1	3	1	0	0	681	1189	593	6	-1	
4	1	3	1	1	0	681	1189	593	6	-1	
5	1	3	1	1	1	681	1189	593	6	95	 
2	1	4	0	0	0	340	328	2542	1717	-1	
3	1	4	1	0	0	340	328	2542	1717	-1	
4	1	4	1	1	0	341	328	2534	92	-1	
5	1	4	1	1	1	341	330	289	75	94	United
5	1	4	1	1	2	670	328	252	77	96	States
5	1	4	1	1	3	961	330	279	75	93	Patent
5	1	4	1	1	4	1314	366	76	49	58	[9
5	1	4	1	1	5	1731	366	74	49	57	[111
5	1	4	1	1	6	1880	354	186	51	85	Patent
5	1	4	1	1	7	2095	354	255	51	94	Number:
5	1	4	1	1	8	2565	346	310	74	93	5,904,033
4	1	4	1	2	0	340	462	2539	65	-1	
5	1	4	1	2	1	340	462	226	52	91	Landeis
5	1	4	1	2	2	1731	475	76	49	66	(45)
5	1	4	1	2	3	1881	463	133	51	84	Date
5	1	4	1	2	4	2040	462	58	52	95	of
5	1	4	1	2	5	2119	463	202	51	96	Patent:
5	1	4	1	2	6	2497	463	129	64	96	May
5	1	4	1	2	7	2648	462	79	65	95	18,
5	1	4	1	2	8	2748	462	131	52	96	1999
4	1	4	1	3	0	343	656	2271	50	-1	
5	1	4	1	3	1	343	656	76	50	77	[554]
5	1	4	1	3	2	476	656	122	40	83	VINE
5	1	4	1	3	3	619	656	211	38	96	CUTTER
5	1	4	1	3	4	1654	658	185	48	94	Attorney,
5	1	4	1	3	5	1855	658	131	48	95	Agent,
5	1	4	1	3	6	2010	669	45	25	92	or
5	1	4	1	3	7	2070	656	314	38	80	Firm-Michael
5	1	4	1	3	8	2403	658	37	36	83	S.
5	1	4	1	3	9	2460	657	154	37	91	Neustel
4	1	4	1	4	0	343	740	2064	80	-1	
5	1	4	1	4	1	343	771	76	49	87	[76]
5	1	4	1	4	2	476	772	180	37	87	Inventor:
5	1	4	1	4	3	711	771	162	38	78	Marvin
5	1	4	1	4	4	891	771	37	42	92	J.
5	1	4	1	4	5	948	771	182	46	90	Landeis,
5	1	4	1	4	6	1151	772	97	37	96	2928
5	1	4	1	4	7	1270	772	67	37	94	Orr
5	1	4	1	4	8	1357	771	83	46	95	Cir.,
5	1	4	1	4	9	1663	740	76	50	76	[57]
5	1	4	1	4	10	2130	740	277	38	95	ABSTRACT
4	1	4	1	5	0	711	831	2167	61	-1	
5	1	4	1	5	1	711	831	150	46	95	Inkster,
5	1	4	1	5	2	881	832	45	36	96	N.
5	1	4	1	5	3	948	831	92	37	95	Dak.
5	1	4	1	5	4	1062	831	125	37	96	58244
5	1	4	1	5	5	1659	844	38	36	96	A
5	1	4	1	5	6	1708	842	86	38	96	vine
5	1	4	1	5	7	1811	848	115	32	96	cutter
5	1	4	1	5	8	1942	842	57	38	96	for
5	1	4	1	5	9	2015	842	141	50	96	cutting
5	1	4	1	5	10	2172	842	196	50	95	entangled
5	1	4	1	5	11	2384	842	106	38	96	vines
5	1	4	1	5	12	2506	842	44	38	95	of
5	1	4	1	5	13	2562	848	124	44	96	potato
5	1	4	1	5	14	2704	842	121	50	96	plants
5	1	4	1	5	15	2841	842	37	38	96	in
4	1	4	1	6	0	1661	903	1215	50	-1	
5	1	4	1	6	1	1661	903	96	38	96	front
5	1	4	1	6	2	1776	903	42	38	95	of
5	1	4	1	6	3	1836	916	19	25	96	a
5	1	4	1	6	4	1871	909	125	44	96	potato
5	1	4	1	6	5	2017	903	183	38	96	harvester
5	1	4	1	6	6	2219	916	41	25	95	so
5	1	4	1	6	7	2281	903	74	38	95	that
5	1	4	1	6	8	2373	903	59	38	96	the
5	1	4	1	6	9	2451	903	106	38	96	vines
5	1	4	1	6	10	2576	903	46	38	96	do
5	1	4	1	6	11	2641	909	63	32	95	not
5	1	4	1	6	12	2721	903	155	38	96	become
4	1	4	1	7	0	343	964	2533	50	-1	
5	1	4	1	7	1	343	964	76	50	94	[21]
5	1	4	1	7	2	475	964	110	50	86	Appl.
5	1	4	1	7	3	605	966	85	36	93	No.:
5	1	4	1	7	4	711	964	227	48	92	08/887,059
5	1	4	1	7	5	1660	964	196	50	94	entangled
5	1	4	1	7	6	1886	964	71	38	95	and
5	1	4	1	7	7	1988	964	253	38	95	accumulated
5	1	4	1	7	8	2270	977	100	37	95	upon
5	1	4	1	7	9	2402	977	19	25	96	a
5	1	4	1	7	10	2449	964	98	38	95	front
5	1	4	1	7	11	2574	964	144	50	95	portion
5	1	4	1	7	12	2748	964	44	38	96	of
5	1	4	1	7	13	2818	964	58	38	96	the
4	1	4	1	8	0	509	1024	2369	42	-1	
5	1	4	1	8	1	509	1060	5	6	94	.
5	1	4	1	8	2	1686	1030	98	32	92	otato
5	1	4	1	8	3	1814	1024	192	38	91	harvester.
5	1	4	1	8	4	2036	1024	76	38	95	The
5	1	4	1	8	5	2142	1024	186	38	95	inventive
5	1	4	1	8	6	2358	1024	129	38	96	device
5	1	4	1	8	7	2517	1024	168	38	96	includes
5	1	4	1	8	8	2714	1037	19	25	96	a
5	1	4	1	8	9	2762	1024	116	38	95	frame
4	1	4	1	9	0	343	1037	2536	97	-1	
5	1	4	1	9	1	343	1060	76	49	85	[22]
5	1	4	1	9	2	0	0	3150	4950	29	-
